edrpou,document,type_of_construction,legal_base,n
05415786,декларація про початок будівельних робіт,"капітальний ремонт приміщень Державної наукової установи "" Науково-практичний центр профілактичної та клінічної медицини"" ДУС на вул.Верхня,5 у Печерському районі м.Києва, ІІІ категорія складності",не зазначено,7
05415786,декларація про початок будівельних робіт,"капітальний ремонт приміщень Державної наукової установи "" Науково-практичний центр профілактичної та клінічної медицини"" ДУС на вул.Верхня,5 у Печерському районі м.Києва, ІІІ категорія складності",не зазначено,7
02011858,декларація про готовність об'єкта до експлуатації,"Реконструкція будівлі інституту з надбудовою одного поверху над залом конференцій та фойє експерементально-лабораторного корпусу; м.Київ, Деснянський, вул. Попудренка, 50",державний акт ЯЯ 389517 2010-10-01,7
02011930,сертифікат,"Реставрація з реабілітацією та пристосуванням клінічного корпусу №3 ДУ ""Інститут нейрохірургії ім. акад. А.П. Ромоданова АМН України"" вул. Мануїльського, 32; м.Київ, вул. Платона Майбороди, 32",державний акт яя 3922995 2005-09-14,7
02011930,зміна даних у декларації про початок будівельних робіт,"Реставрація із реабілітацією та пристосуванням клінічного корпусу № 3 ДУ ""Інститут нейрохірургії ім. Акад. А.П. Ромоданова АМН України; м.Київ, Шевченківський, вул. Мануїльського, 32",державний акт 01-9-00083 2005-09-14,7
02011870,повідомлення про зміну даних в дозволі на будівельні роботи,"реконструкція рентген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3",державний акт ЯЯ 389519 2010-09-21,7
02011870,повідомлення про зміну даних в дозволі на будівельні роботи,"реконструкція рентген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3",державний акт ЯЯ 389519 2010-09-21,7
02011870,повідомлення про зміну даних в дозволі на будівельні роботи,"Реконструкція ренген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3в",не зазначено,7
02011870,повідомлення про зміну даних в дозволі на будівельні роботи,"реконструкція рентген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3",державний акт ЯЯ 389519 2010-09-21,7
02011870,повідомлення про зміну даних в дозволі на будівельні роботи,"реконструкція рентген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3",державний акт ЯЯ 389519 2010-09-21,7
02011870,повідомлення про зміну даних в дозволі на будівельні роботи,"реконструкція рентген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3",державний акт ЯЯ 389519 2010-09-21,7
02011870,дозвіл на будівельні роботи,"реконструкція рентген-радіологічного відділення Державної установи ""Інститут отоларингології ім.проф.О.С.Коломійченка НАМН України""; м.Київ, вул. Зоологічна, 3",державний акт ЯЯ 389519 2010-09-21,7
02012022,повідомлення про початок будівельних робіт,"Капітальний ремонт Науково-медичного центру катамнестичного спостереження за дітьми з перинатальною паталогією ; м.Київ, Шевченківський, вул. Платона Майбороди, 8",не зазначено,7
04837835,декларація про готовність об'єкта до експлуатації,"будівництво патолого-анатомічного корпусу Науково-дослідного інституту клінічної радіології Державної установи ""Національний науковий центр радіаційної медицини Національної академії медичних наук України"". Завершення будівництва; м.Київ, Святошинський, п",державний акт 571 1989-06-29,7
04837835,зміна даних у декларації про початок будівельних робіт,"будівництво патолого-анатомічного корпусу Науково-дослідного інституту клінічної радіології Державної установи ""Національний науковий центр радіаційної медицини Національної академії медичних наук України"". Завершення будівництва; м.Київ, Святошинський, п",державний акт 571 1989-06-29,7
34716922,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт будівлі гуртожитку №2; Черкаська обл., м. Черкаси, вул. Рози Лексембург, 191",не зазначено,8
34716922,зміна даних у декларації про початок будівельних робіт,"Капітальний ремонт будівлі гуртожитку №2; Черкаська обл., м. Черкаси, вул. Рози Лексембург, 191",не зазначено,8
34716922,декларація про початок будівельних робіт,"Капітальний ремонт будівлі гуртожитку №2; Черкаська обл., м. Черкаси, вул. Рози Лексембург, 191",не зазначено,8
38855349,декларація про готовність об'єкта до експлуатації,"Реконструкція будівлі учбово-лабораторного корпусу (літ. А) з прибудовою Державного університету телекомунікацій; м.Київ, Солом'янський, вул. Солом’янська, 7",державний акт 06-9-00042 2017-03-30,8
38855349,повідомлення про початок будівельних робіт,"Реконструкція будівлі учбово-лабораторного корпусу (літ. А) з прибудовою Державного університету телекомунікацій; м.Київ, Солом'янський, вул. Солом’янська, 7",державний акт 06-9-00042 2017-03-30,8
05417199,сертифікат,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення на вул. Академіка Лебедєва, 1 у Голосіївському районі м. Києва (9-й пусковий комплекс, житловий будинок №8); м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00064 2007-07-16,7
05417199,сертифікат,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення на вул. Академіка Лебедєва, 1 у Голосіївському районі м. Києва (8-й пусковий комплекс, житловий будинок №7); м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00064 2007-07-16,7
05417199,зміна даних у декларації про початок будівельних робіт,"Будівництво житлового будинку з приміщеннями соціально-культурної діяльності у складі проекту ""Будівництво середньо поверхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення; м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00067 2007-07-16,7
05417199,декларація про готовність об'єкта до експлуатації,"Будівництво житлового будинку з приміщеннями соціально-побутового призначення у складі проекту ""Будівництво середньо поверхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення; м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00066 2007-07-16,7
05417199,декларація про початок будівельних робіт,"Будівництво житлового будинку з приміщеннями соціально-культурної діяльності у складі проекту ""Будівництво середньо поверхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення; м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00067 2007-07-16,7
05417199,декларація про початок будівельних робіт,"Будівництво житлового будинку з приміщеннями соціально-побутового призначення у складі проекту ""Будівництво середньо поверхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення; м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00066 2007-07-16,7
05417199,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення на вул. Академіка Лебедєва 1 у Голосіївському районі м. Києва; м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",не зазначено,7
05417199,сертифікат,"Будівництво середньо поверхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення на вул. Академіка Лебедєва, 1 у Голосіївському районі м. Києва (7-й пусковий комплекс, житловий будинок №6); м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт 07-9-00064 2007-07-16,7
05417199,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення на вул. Академіка Лебедєва 1 у Голосіївському районі м. Києва; м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",не зазначено,7
05417199,сертифікат,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об’єктів соціально-побутового призначення на вул. Академіка Лебедєва, 1 у Голосіївському районі м. Києва (5-й пусковий комплекс, житловий будинок № 5-1, № 5-2); м.Київ, вул. Академіка Лебедєва, 1",не зазначено,7
05417199,сертифікат,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об’єктів соціально-побутового призначення на вул. Академіка Лебедєва, 1 у Голосіївському районі м. Києва (6-й пусковий комплекс, житловий будинок № 2 (секції 1,2,3)); м.Київ, вул. Академіка Лебедєва, 1",не зазначено,7
05417199,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво малоповерхової житлової забудови з об'єктами соціально-побутового призначення за адресою: вул. Лебедєва Академіка, 1 у Голосіївському районі м. Києва; м.Київ, вул. Лебедєва Академіка, 1",не зазначено,7
