"","university_name","university_id","university_parent_id","university_short_name","university_name_en","registration_year","university_edrpou","university_type_name","education_type_name","university_financing_type_name","university_governance_type_name","post_index","koatuu_id","region_name","koatuu_name","university_address","post_index_u","koatuu_id_u","region_name_u","koatuu_name_u","university_address_u","university_phone","university_email","university_site","university_director_post","university_director_fio"
"1","Академія праці, соціальних відносин і туризму","53",NA,"АПСВТ","Academy of Labour, Social Relations and Tourism","1993","04641405","Заклад вищої освіти","Академія","Приватна","","03680","8000000000","КИЇВ","Київ","вул. Велика Окружна дорога, 3","03680","8000000000","КИЇВ","Київ","вул. Велика Окружна дорога, 3","+38(044) 522-49-40","info@socosvita.kiev.ua","http://www. socosvita.kiev.ua","Ректор","Буяшенко Вікторія Василівна"
"2","Бізнес-коледж Приватного вищого навчального закладу ""Європейський університет""","3555","228","БК ПВНЗ «Європейський університет»","Business College of Private Higher Educational Establishment ""European University""","2002","40487422","Заклад вищої освіти","Коледж","Приватна","","03115","8000000000","КИЇВ","Київ","бульв. Академіка Вернадського, 16-В","03115","8000000000","КИЇВ","Київ","бульв. Академіка Вернадського, 16-В","+380(44)-432-00-58","bkeu@kyiv.e-u.in.ua","www.e-u.in.ua","директор","Сильницький Юрій Вікторович"
"3","Вищий навчальний заклад ""Відкритий міжнародний університет розвитку людини ""Україна""","217",NA,"Університет ""Україна""","Higher Education Institution 'Open International UNIVERSITY of Human Development 'UKRAINE'","1998","30373644","Заклад вищої освіти","Університет","Приватна","","04071","8038500000","КИЇВ","Київ","вул. Хорива, 1Г","04071","8038500000","КИЇВ","Київ","вул. Хорива, 1Г","(044) 4287410; 4252322; 4225019; 4252926","viddilorgrobotu@ukr.net","www.vmurol.com.ua","президент","Таланчук Петро Михайлович"
"4","Вищий навчальний заклад Інститут дизайну, архітектури та журналістики (у формі товариства з обмеженою відповідальністю)","1319",NA,"Вищий навчальний заклад ""Інститут дизайну, архітектури та журналістики""","Higher educational institution “Institute of Design, Architecture and Journalism ”(in the form of limited liability company)","2000","32594570","Заклад вищої освіти","Інститут","Приватна","","03039","8038500000","КИЇВ","Київ","вул. Фрометівська, 2","03039","8038500000","КИЇВ","Київ","вул. Фрометівська, 2","+380(44)-496-97-60","fb.mail.ir@gmail.com","www.ir.edu.ua","В. о. директора","Бойко Світлана Станіславівна"
"5","Вищий навчальний заклад ""Київська Академія перукарського мистецтва""","865",NA,"ВНЗ ""КАПМ""","Higher educational institution ""Kyiv Academy of hairdressing art""","2002","26199252","Заклад вищої освіти","Академія","Приватна","","03067","8038900000","КИЇВ","Київ","вул. Виборзька, 86","03067","8038900000","КИЇВ","Київ","вул. Виборзька, 86","0444555672","kapm@ukr.net","www.kapi.com.ua","ректор","Лубянська Світлана Павлівна"
"6","Вищий навчальний заклад ""Київський економічний інститут менеджменту"" у формі Товариства з обмеженою відповідальністю","251",NA,"КЕІМ","Higher Educational Institution ""Kyiv Economic Institute of Management"" Limited company","1992","16459143","Заклад вищої освіти","Інститут","Приватна","","03005","8038900000","КИЇВ","Київ","вул. Смоленська , 31-33","03005","8038900000","КИЇВ","Київ","вул. Смоленська , 31-33","(044) 456-88-02 (044) 456-72-64","keimkiev@ukr.net","http://ecoman-university.kiev.ua/","Ректор","Рожок Володимир Давидович"
"7","Вищий навчальний заклад ""Київський медичний коледж №3""","1185",NA,"ВНЗ""КМК№3""","Kyiv Medical College № 3","1961","05416124","Заклад вищої освіти","Коледж","Комунальна","Департамент охорони здоров`я виконавчого органу Київської міської ради (Київської міської державної адміністрації)","02096","8036300000","КИЇВ","Київ","вул. Привокзальна, 14/2","02096","8036300000","КИЇВ","Київ","вул. Привокзальна, 14/2","(044)566-15-45","medkoledg3@ukr.net","","Директор","Лежненко Тамара Григорівна"
"8","Вищий навчальний заклад ""Київський медичний коледж ім. П.І. Гаврося""","418",NA,"ВНЗ КМК ім. П.І.Гаврося","P.I.Gavros Kyiv Medical College","2001","02010764","Заклад вищої освіти","Коледж","Комунальна","Департамент охорони здоров`я виконавчого органу Київської міської ради (Київської міської державної адміністрації)","03126","8038900000","КИЇВ","Київ","вул. Академіка Білецького, 16","03126","8038900000","КИЇВ","Київ","вул. Академіка Білецького, 16","0444971171, 0444971181","kmkgavr@health.com.ua","www.kmk.org.ua","Директор","Підмогильна Лідія Григорівна"
"9","Вищий навчальний заклад Київський міський медичний коледж","1158",NA,"ВНЗ КММК","Higher Educational Institution Kyiv Municipal Medical College","1965","05416136","Заклад вищої освіти","Коледж","Комунальна","Департамент охорони здоров`я виконавчого органу Київської міської ради (Київської міської державної адміністрації)","02166","8000000000","КИЇВ","Київ","вул. Братиславська, 5","02166","8000000000","КИЇВ","Київ","вул. Братиславська, 5","518-76-68","305-kmmk@ukr.net","kmmk.com.ua","Директор","В`юницький Володимир Петрович"
"10","Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю","866",NA,"""Київський університет ринкових відносин""","Kyiv University for Market Relations","1990","02030494","Заклад вищої освіти","Університет","Приватна","","02152","8036600000","КИЇВ","Київ","вул. Березняківська, 26-Б","02152","8036600000","КИЇВ","Київ","вул. Березняківська, 26-Б","553-66-07","rectorat@kumr.edu.ua","kumr.edu.ua","Ректор","Черевань Ірина Вікторівна"
"11","Вищий навчальний заклад ""Перший Київський медичний коледж""","994",NA,"ВНЗ 'ПКМК""","First Kyiv Medical College","1842","05416113","Заклад вищої освіти","Коледж","Комунальна","Департамент охорони здоров`я виконавчого органу Київської міської ради (Київської міської державної адміністрації)","04050","8039100000","КИЇВ","Київ","вул. Мельникова, 14","04050","8039100000","КИЇВ","Київ","вул. Мельникова, 14","4006774, 044-48-39-515, 044-40-000-95","pkmk3d@ukr.net","","Директор","Кузнєцов Володимир Георгійович"
"12","Вищий навчальний заклад ""Університет економіки та права ""КРОК""","318",NA,"Університет ""КРОК""","""KROK"" University","1992","04635922","Заклад вищої освіти","Університет","Приватна","","03113","8039100000","КИЇВ","Київ","вул. Лагерна, 30-32","03113","8039100000","КИЇВ","Київ","вул. Лагерна, 30-32","(044) 455 56 66, 456 84 28","krok@krok.edu.ua","http://krok.edu.ua","Ректор","Лаптєв Сергій Михайлович"
"13","Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""","2118","127","ВСП ІІО КНУБА","Separate structural unit ""Institute of Innovative Education of Kyiv National University of Construction and Architecture""","2013","38639433","Заклад вищої освіти","Інститут","Державна","Міністерство освіти і науки України","03037","8038900000","КИЇВ","Київ","вул. Освіти, 4","03037","8038900000","КИЇВ","Київ","вул. Освіти, 4","(044) 2752056","office@ipo-knuba.edu.ua","www.ipo-knuba.edu.ua","Директор","Никитюк Олександр Андрійович"
"14","Відокремлений структурний підрозділ Київський індустріальний коледж Київського національного університету будівництва і архітектури","3038","127",".","Separated structural subdivision Kyiv Industrial College of Kyiv National University of Construction and Architecture","2015","39867890","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","04112","8038900000","КИЇВ","Київ","вул. Новоукраїнська, 24-А","04112","8038900000","КИЇВ","Київ","вул. Новоукраїнська, 24-А","(044) 4562028, 4584515","indkit1@bigmir.net","www.kink-knuba.kiev.sch.in.ua","Директор","Кікто Світлана Михайлівна"
"15","Відокремлений структурний підрозділ приватного вищого навчального закладу ""Київський міжнародний університет""-""Коледж Київського міжнародного університету""","1622","344","Коледж КиМУ","Branch of the Private Kyiv International University Higher Education Establishment -""The College of the Kyiv International University""","2010","37498756","Заклад вищої освіти","Коледж","Приватна","","03179","8038600000","КИЇВ","Київ","вул. Львівська, 49","03179","8038600000","КИЇВ","Київ","вул. Львівська, 49","(044) 423 17 88; 450 06 31","college@kymu.edu.ua","www.kymu.edu.ua/college","директор","Кузьміч Ірина Богданівна"
"16","Військовий інститут телекомунікацій та інформатизації","3196",NA,"ВІТІ","Military Institute of Telecommunication and Informatization","2015","24978555","Заклад вищої освіти","Інститут","Державна","Міністерство оборони України","01011","8038200000","КИЇВ","Київ","вул. Московська, 45/1","01011","8038200000","КИЇВ","Київ","вул. Московська, 45/1","(044) 2805967","viti@viti.edu.ua","www.viti.edu.ua","Начальник військового інституту телекомунікацій та інформатизації","Степаненко Євген Олександрович"
"17","Воєнно-дипломатична академія імені Євгенія Березняка","2899",NA,".","Military Diplomatic Academy named after Yevheniy Bereznyak","1994","14303342","Заклад вищої освіти","Академія","Державна","Міністерство оборони України","04050","8000000000","КИЇВ","Київ","вул. Юрія Іллєнка, 81","04050","8000000000","КИЇВ","Київ","вул. Юрія Іллєнка, 81","(044) 483-15-64","vdamo@i.ua","","Начальник Воєнно-дипломатичної академії імені Євгенія Березняка","Крисяк Павло Васильович"
